n,lf model,hf iter,lf iter,mf iter,mf score,mf mass,mf EI,hf score,hf mass,hf EI,lf score,lf mass,lf EI,hf time,lf time,mf time,sparse
1,equiv_cant,10,100,200,4.487857619,0.077071221,1848160.187,2.167645477,0.058194094,3216001.4,1.388827303,0.130401751,4427863.469,3.65084815,30.20408392,140.075191,FALSE
1,unit,10,100,200,1000000000,0.110430735,nan,2.620234141,0.067950123,2815090.221,3.658527023,0.089828487,2188807.145,4.947089911,46.93408585,62.08168697,FALSE
1,equiv_cant,10,200,50,10000000000,0.081423737,nan,1.3313413,0.065456132,4413286.312,5.755376382,0.102615034,1503135.236,5.335822105,85.84373713,19.46482825,FALSE
1,unit,10,200,50,16.90170904,0.069030322,560768.2479,2.86491771,0.070988062,2635789.519,1.467698734,0.114301645,4249176.668,6.54162097,105.460779,15.25197482,FALSE
1,equiv_cant,10,200,100,2.106715743,0.115615663,3343251.558,3.818339849,0.043021318,2094101.144,1.902975362,0.120739441,3594231.504,3.867064953,81.41824508,47.68871498,FALSE
1,unit,10,200,100,17.6675645,0.070520797,537719.8742,1.270846822,0.086980399,4579034.64,3.743032836,0.046148973,2129071.165,4.01375103,137.2018669,53.68267822,FALSE
1,unit,10,200,200,340.4413557,0.098937464,29296.09526,2.517564727,0.046398815,2880876.413,4.336368778,0.036489898,1886835.572,4.152081251,137.8489692,114.7384822,FALSE
1,equiv_cant,20,50,50,66.10676896,0.031835392,149086.9908,0.691727371,0.084776021,6222963.751,87.60393538,0.114366681,113007.6702,7.840089083,13.84468198,20.75648499,FALSE
1,unit,20,50,50,10000000000,0.058090125,nan,1.391568313,0.086701123,4338644.779,1.775676236,0.062050341,3685106.344,7.244847059,24.71964908,16.39724517,FALSE
1,equiv_cant,20,50,100,57.81178396,0.03393212,170132.1108,0.918229292,0.082251274,5446688.305,1.61165646,0.116319067,4007474.11,10.99659586,16.8386538,34.96198916,FALSE
1,unit,20,50,100,9557.730485,0.035850063,1046.167953,1.117874265,0.084299281,4917448.376,9.175641514,0.058582997,988429.5898,8.137015104,17.00858808,45.64693713,FALSE
1,equiv_cant,20,50,200,10.34054771,0.055082715,886095.522,3.452651724,0.076910314,2285327.003,3.373296568,0.097965141,2338999.952,10.89036512,17.67805886,112.364172,FALSE
1,unit,20,50,200,4.459323287,0.078659964,1858506.916,0.510769578,0.117450351,7177106.157,1.26585072,0.09664431,4609980.846,10.79531717,25.58528399,129.3685329,FALSE
1,equiv_cant,20,100,50,6.868235557,0.083781533,1284611.608,1.425957624,0.067121607,4239379.053,6.543524853,0.098947998,1343259.69,8.382275105,35.51972723,23.6922307,FALSE
1,unit,20,100,50,8.463847765,0.093105585,1067151.332,3.453617709,0.046196416,2268900.415,0.919679451,0.088494162,5460943.829,9.323971987,56.90354919,18.98483372,FALSE
1,equiv_cant,20,100,100,13.59897111,0.085631904,689021.3106,3.154821631,0.048638023,2435351.4,87.39817121,0.11110593,113266.8751,6.740446329,28.99373102,63.48830414,FALSE
1,unit,20,100,100,4.749522812,0.059547854,1757476.979,5.783764048,0.055291454,1486221.406,4.975336025,0.087883371,1698527.46,9.721853018,42.52111602,54.08031392,FALSE
1,equiv_cant,20,100,200,6.559137078,0.072768409,1335761.093,0.74824042,0.101622346,6073053.709,3.106562782,0.109448988,2501805.181,11.97439098,29.67691422,150.2559609,FALSE
1,unit,20,100,200,57.73475706,0.050145986,170402.4244,3.383598385,0.044231616,2304483.703,7.460340284,0.0627133,1190812.597,9.529596806,44.42773199,161.5577562,FALSE
1,equiv_cant,20,200,50,186.3777104,0.02917018,53376.45005,1.693886534,0.086022835,3834556.232,3.958549956,0.099206515,2057891.179,9.68601203,95.59525013,37.71252203,FALSE
1,unit,20,200,50,12.12723973,0.051095714,764751.4424,3.144456107,0.078932538,2459707.792,1.567126981,0.1069527,4064752.68,11.34686112,104.1076322,8.614733934,FALSE
